plant_id_eia,operating_year,capacity_mw,generator_id,fgd
56068,2010,701.3,1,1
56163,1958,82,4,0
56224,2008,242,1,1
56319,2008,95,1,1
56456,2010,720,STG1,1
56564,2012,609,1,1
56596,2010,116,5,1
56609,2011,483.7,1,1
56611,2013,1008,S01,1
56671,2011,807.5,MKA01,1
56786,2014,106.2,1,1
56808,2012,668,1,1
57046,2010,71.4,GEN1,1
57914,1950,2,2,0
57914,1950,2,1,0
57915,1972,10,4,1
57915,1964,4,3,1
57915,1953,3.5,2,1
57915,1953,3.5,1,1
57915,1975,10,6,1
57915,1975,10,5,1
57919,1957,28,4,1
57928,1998,3.5,GEN5,0
57937,1987,5,SCBF,0
57940,1986,7.5,G3,0
57949,1979,1,2,0
57949,1990,1.5,1,0
58081,1947,3,ATB-2,0
62319,2011,1.5,1,0
