CA_N,CA_S,WECC_AZ,WECC_CO
0,0,0.063,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.011,0,0
0.019,0.246,0.112,0.199
0.077,0.509,0.374,0.431
0.136,0.691,0.58,0.612
0.223,0.794,0.688,0.695
0.245,0.844,0.718,0.733
0.198,0.832,0.703,0.669
0.215,0.763,0.699,0.44
0.15,0.63,0.647,0.3
0.097,0.43,0.527,0.151
0.043,0.154,0.326,0.045
0,0,0.057,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.002,0,0.001
0.02,0.066,0.046,0.277
0.08,0.165,0.24,0.529
0.127,0.271,0.355,0.627
0.189,0.343,0.458,0.692
0.21,0.367,0.436,0.684
0.19,0.351,0.387,0.728
0.15,0.287,0.282,0.755
0.077,0.246,0.207,0.661
0.039,0.223,0.128,0.466
0.01,0.119,0.043,0.199
0,0,0.004,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.001
0.01,0.024,0.099,0.255
0.052,0.075,0.323,0.496
0.1,0.172,0.539,0.671
0.118,0.2,0.7,0.801
0.149,0.185,0.716,0.853
0.209,0.176,0.6,0.824
0.245,0.186,0.684,0.741
0.237,0.166,0.552,0.574
0.153,0.134,0.306,0.262
0.046,0.064,0.32,0.075
0,0,0.07,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0.002
0.011,0.053,0.079,0.26
0.043,0.127,0.311,0.506
0.081,0.244,0.574,0.647
0.132,0.287,0.706,0.697
0.145,0.394,0.784,0.776
0.142,0.464,0.815,0.776
0.135,0.466,0.784,0.71
0.103,0.386,0.7,0.585
0.069,0.243,0.55,0.374
0.031,0.089,0.331,0.112
0,0,0.076,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.009,0,0
0.131,0.229,0.135,0.047
0.33,0.484,0.393,0.155
0.497,0.673,0.603,0.315
0.685,0.787,0.746,0.507
0.763,0.836,0.823,0.702
0.757,0.827,0.845,0.739
0.661,0.761,0.814,0.59
0.465,0.631,0.718,0.425
0.243,0.437,0.563,0.241
0.07,0.185,0.342,0.072
0,0.002,0.085,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.023,0,0.004
0.172,0.297,0.156,0.278
0.415,0.537,0.42,0.54
0.601,0.705,0.628,0.728
0.712,0.807,0.762,0.846
0.771,0.848,0.829,0.892
0.772,0.835,0.846,0.883
0.712,0.766,0.81,0.814
0.593,0.636,0.719,0.674
0.41,0.443,0.565,0.44
0.172,0.184,0.344,0.176
0.007,0.003,0.084,0.003
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.017,0,0.004
0.122,0.227,0.153,0.261
0.322,0.469,0.404,0.52
0.385,0.605,0.611,0.711
0.45,0.695,0.746,0.831
0.476,0.717,0.815,0.887
